,Unnamed: 0,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,begin_month,credit
0,0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,13899,4709,0,0,0,,6.0,1.0
1,1,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,11380,1540,0,0,1,Laborers,5.0,1.0
2,2,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,19087,4434,0,1,0,Managers,22.0,2.0
3,3,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,15088,2092,0,1,0,Sales staff,37.0,0.0
4,4,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,15037,2105,0,0,0,Managers,26.0,2.0
5,5,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,13413,4996,0,0,1,High skill tech staff,18.0,1.0
6,6,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,17570,1978,0,0,1,Core staff,41.0,2.0
7,7,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14896,5420,0,0,1,Drivers,53.0,0.0
8,8,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,15131,1466,0,0,1,,38.0,2.0
9,9,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,15785,1308,0,0,0,Medicine staff,5.0,2.0
10,10,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,19063,2213,1,1,1,Laborers,40.0,2.0
11,11,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,11759,91,0,0,0,Managers,51.0,2.0
12,12,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11938,2162,0,0,0,Accountants,60.0,0.0
13,13,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,9887,2474,0,1,0,Sales staff,41.0,2.0
14,14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22922,0,0,1,0,,41.0,2.0
15,15,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,12859,4056,0,1,0,Drivers,60.0,0.0
16,16,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,19408,4553,0,1,0,Laborers,2.0,1.0
17,17,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,8853,984,0,0,1,Sales staff,14.0,2.0
18,18,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23113,0,0,0,0,,37.0,2.0
19,19,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,13727,6031,0,0,0,,7.0,2.0
20,20,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,19850,1753,0,1,0,,35.0,2.0
21,21,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21253,0,0,1,0,,7.0,2.0
22,22,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,15198,1357,0,0,0,Laborers,22.0,0.0
23,23,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,14542,444,1,1,1,,18.0,2.0
24,24,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22361,0,0,1,0,,5.0,2.0
25,25,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,14058,3694,0,0,0,Realty agents,4.0,2.0
26,26,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,17843,3353,1,0,0,Laborers,13.0,2.0
27,27,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,17309,3500,0,0,0,,57.0,2.0
28,28,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,22111,2325,1,1,0,Drivers,47.0,2.0
29,29,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,12017,1711,0,1,0,Sales staff,22.0,0.0
30,30,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,13188,227,0,0,0,Managers,33.0,2.0
31,31,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,11762,3452,1,0,1,Laborers,18.0,0.0
32,32,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,13299,1628,0,0,0,Laborers,2.0,0.0
33,33,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,19200,346,0,1,0,High skill tech staff,30.0,2.0
34,34,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,14488,1630,0,1,0,Laborers,22.0,0.0
35,35,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,14438,2433,0,0,0,Managers,20.0,2.0
36,36,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,20200,1022,1,1,0,Accountants,14.0,2.0
37,37,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,16653,1646,0,0,0,Drivers,8.0,2.0
38,38,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,13582,3472,0,0,0,Sales staff,41.0,2.0
39,39,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,13022,1600,0,0,0,Laborers,39.0,2.0
40,40,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,21700,2426,0,0,0,Laborers,21.0,1.0
41,41,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,12752,433,0,1,0,Accountants,19.0,2.0
42,42,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,9943,554,1,0,0,Managers,35.0,0.0
43,43,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,9963,1876,0,0,0,Sales staff,8.0,1.0
44,44,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,15125,199,0,0,0,Drivers,26.0,2.0
45,45,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,18655,3200,1,1,0,High skill tech staff,4.0,0.0
46,46,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,21100,0,0,1,0,,24.0,2.0
47,47,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,18409,3482,0,0,0,Sales staff,48.0,2.0
48,48,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,23585,0,0,0,0,,4.0,2.0
49,49,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,18858,2010,0,1,0,,12.0,2.0
50,50,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,13951,1101,1,0,0,Sales staff,4.0,2.0
51,51,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,8917,1101,0,0,1,Drivers,10.0,2.0
52,52,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,24044,0,0,1,0,,37.0,2.0
53,53,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,13541,3965,0,0,0,Core staff,42.0,2.0
54,54,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,15626,422,0,0,0,,2.0,1.0
